,Rest Bay,Croyde,Minehead,Llangennith,Kimmeridge,Sennen,Brighton,Freshwater East,Freshwater West,Marloes,Westdale
0,1-2ft,1-2ft,0-1ft,1-2ft,2ft,2-3ft,1ft,1ft,2-3ft,2-3ft,2ft
1,1-2ft,1-2ft,0-1ft,1-2ft,2ft,2-3ft,1ft,1ft,2ft,2-3ft,1-2ft
2,1-2ft,1-2ft,0-1ft,1-2ft,1-2ft,2-4ft,1ft,1-2ft,1-2ft,2ft,1-2ft
3,1ft,1-2ft,0-1ft,1-2ft,1-2ft,3-4ft,1ft,1-2ft,1-2ft,1-2ft,1-2ft
4,1ft,1-2ft,0-1ft,1-2ft,1-2ft,3-5ft,1ft,1ft,1-2ft,1-2ft,1-2ft
5,1-2ft,2-3ft,0-1ft,1-2ft,1-2ft,3-5ft,1ft,0-1ft,1-2ft,1-2ft,1-2ft
6,1-2ft,2ft,0-1ft,1ft,1-2ft,3-5ft,1ft,,1-2ft,1-2ft,1-2ft
7,1-2ft,1-2ft,0-1ft,1ft,2ft,4-6ft,1ft,,1-2ft,1-2ft,1-2ft
8,1-2ft,2-3ft,0-1ft,1ft,1-2ft,4-6ft,0-1ft,,1-2ft,1-2ft,1-2ft
9,1-2ft,2-3ft,1ft,1ft,1-2ft,4-6ft,0-1ft,,2-3ft,1-2ft,1-2ft
10,1-2ft,2-3ft,1ft,1ft,1-2ft,4-6ft,0-1ft,,2ft,1-2ft,2-3ft
11,1-2ft,2-3ft,1ft,1-2ft,1-2ft,4-6ft,0-1ft,,2-3ft,1-2ft,2-3ft
12,1-2ft,2-3ft,1ft,1-2ft,1-2ft,4-6ft,0-1ft,,2-3ft,1-2ft,2-3ft
13,2ft,2-3ft,1ft,1-2ft,1-2ft,4-6ft,0-1ft,,2-3ft,1-2ft,2-3ft
14,2ft,2-3ft,1ft,1-2ft,1-2ft,4-6ft,1ft,,2ft,1-2ft,2ft
15,2ft,2-3ft,0-1ft,1-2ft,1-2ft,4-6ft,1ft,,2ft,1-2ft,2ft
16,2ft,2-3ft,1ft,1-2ft,1-2ft,3-5ft,1ft,,2ft,1-2ft,2ft
17,1-2ft,2-3ft,1ft,1-2ft,1-2ft,3-5ft,0-1ft,,2ft,1-2ft,2ft
18,1-2ft,2-3ft,0-1ft,1-2ft,1-2ft,3-5ft,0-1ft,,2-3ft,2-3ft,2-3ft
19,1-2ft,1-2ft,0-1ft,1-2ft,1-2ft,3-5ft,1ft,,1-2ft,1-2ft,1-2ft
20,1-2ft,1-2ft,0-1ft,1-2ft,1ft,3-5ft,0-1ft,,1-2ft,1-2ft,1-2ft
21,1-2ft,1-2ft,1ft,1ft,1ft,3-4ft,0-1ft,,1-2ft,1-2ft,2-3ft
22,1-2ft,2-3ft,1ft,1ft,1ft,2-4ft,0-1ft,,1-2ft,1-2ft,2ft
23,1-2ft,2-3ft,0-1ft,1ft,1ft,2-4ft,0-1ft,,2ft,1-2ft,1-2ft
24,1-2ft,2ft,0-1ft,1ft,1ft,2-4ft,0-1ft,,1-2ft,1ft,1-2ft
25,1-2ft,2ft,0-1ft,1ft,1ft,2-4ft,0-1ft,,1-2ft,1-2ft,1-2ft
26,2ft,1-2ft,0-1ft,1ft,1ft,3-4ft,0-1ft,,1-2ft,1-2ft,1-2ft
27,1-2ft,1-2ft,0-1ft,1-2ft,1ft,3-4ft,0-1ft,,2-3ft,2-3ft,2-3ft
28,2-3ft,2-3ft,1ft,2-3ft,1ft,3-4ft,0-1ft,,3-4ft,3-5ft,3-4ft
29,3-4ft,3-4ft,1ft,2-3ft,1ft,3-5ft,0-1ft,,3-5ft,3-5ft,3-4ft
30,3-4ft,3-4ft,1ft,2-4ft,1ft,3-5ft,0-1ft,,3-4ft,3-5ft,3-4ft
31,3-4ft,2-4ft,1ft,2-3ft,1ft,3-4ft,0-1ft,,3-4ft,3-4ft,2-4ft
32,2-4ft,2-4ft,1ft,2-3ft,1-2ft,3-4ft,0-1ft,,2-4ft,2-4ft,2-4ft
33,2-4ft,2-3ft,1ft,2-3ft,1-2ft,3-4ft,1ft,,2-4ft,2-4ft,2-3ft
34,2-4ft,2-3ft,1ft,2-3ft,2ft,3-5ft,1ft,,2-3ft,2-3ft,2-3ft
35,2-4ft,2-4ft,1ft,2-3ft,2ft,3-5ft,1ft,,2-3ft,2-3ft,2-3ft
36,2-3ft,2-3ft,1ft,2-3ft,2ft,4-6ft,1ft,,2-4ft,2-3ft,2-3ft
37,2-4ft,2-3ft,1ft,2-3ft,2ft,4-7ft,1ft,,3-5ft,3-4ft,3-5ft
38,3-4ft,3-5ft,1-2ft,2-4ft,2-3ft,4-7ft,1ft,,3-5ft,3-4ft,3-4ft
39,3-5ft,3-5ft,1ft,2-3ft,2-4ft,4-7ft,1ft,,3-4ft,2-4ft,3-4ft
40,3-4ft,3-4ft,1ft,2-3ft,2-4ft,4-6ft,1ft,,3-4ft,2-3ft,2-4ft
41,3-4ft,3-4ft,1ft,2-3ft,2-3ft,4-6ft,1-2ft,,2-4ft,2-3ft,2-3ft
42,2-4ft,2-4ft,1ft,2-3ft,2-3ft,3-5ft,1-2ft,,2-3ft,2-3ft,2-3ft
43,2-3ft,2-3ft,1ft,1-2ft,1-2ft,3-5ft,1-2ft,,2-3ft,2-3ft,2-3ft
44,2ft,2-3ft,1ft,1-2ft,1-2ft,3-5ft,1ft,,2-3ft,2-3ft,2-3ft
45,1-2ft,2-3ft,0-1ft,1-2ft,1-2ft,3-5ft,1ft,,2-3ft,2-3ft,2-3ft
46,2-3ft,2-4ft,1ft,1-2ft,1-2ft,4-6ft,1ft,,2-3ft,2-3ft,2-3ft
47,2-4ft,2-4ft,1ft,2-3ft,1-2ft,4-6ft,1ft,,2-3ft,2-3ft,2-3ft
48,2-4ft,2-4ft,1ft,2-3ft,1-2ft,4-6ft,1ft,,2-3ft,2-3ft,2-3ft
49,2-3ft,2-4ft,1ft,2-3ft,1-2ft,4-7ft,1ft,,2-3ft,2-3ft,2-3ft
50,2-3ft,3-4ft,1ft,2ft,1-2ft,4-7ft,1ft,,2-3ft,2-3ft,2-3ft
51,2-4ft,3-4ft,1ft,1-2ft,1-2ft,4-7ft,1ft,,2-3ft,2-3ft,2-4ft
52,2-4ft,3-4ft,1ft,1-2ft,1-2ft,4-7ft,1ft,,2-4ft,2-3ft,2-4ft
53,2-4ft,3-4ft,1ft,1-2ft,1-2ft,4-7ft,1ft,,2-3ft,2-3ft,2-3ft
54,2-3ft,3-4ft,1ft,1-2ft,1-2ft,4-6ft,1ft,,2ft,2-3ft,2-3ft
55,2-3ft,2-4ft,1ft,1-2ft,1-2ft,4-6ft,1ft,,2ft,1-2ft,1-2ft
